sample_id,alpha,lambda,pair_label,label,cascade_size
0,control,control,control,true,50
0,control,control,control,false,45
0,1.5,1.0,"α=1.5,λ=1.0",true,47
0,1.5,1.0,"α=1.5,λ=1.0",false,31
0,2.0,1.5,"α=2.0,λ=1.5",true,48
0,2.0,1.5,"α=2.0,λ=1.5",false,31
0,3.0,2.0,"α=3.0,λ=2.0",true,48
0,3.0,2.0,"α=3.0,λ=2.0",false,35
1,control,control,control,true,43
1,control,control,control,false,62
1,1.5,1.0,"α=1.5,λ=1.0",true,39
1,1.5,1.0,"α=1.5,λ=1.0",false,58
1,2.0,1.5,"α=2.0,λ=1.5",true,39
1,2.0,1.5,"α=2.0,λ=1.5",false,58
1,3.0,2.0,"α=3.0,λ=2.0",true,42
1,3.0,2.0,"α=3.0,λ=2.0",false,61
2,control,control,control,true,22
2,control,control,control,false,83
2,1.5,1.0,"α=1.5,λ=1.0",true,19
2,1.5,1.0,"α=1.5,λ=1.0",false,27
2,2.0,1.5,"α=2.0,λ=1.5",true,19
2,2.0,1.5,"α=2.0,λ=1.5",false,50
2,3.0,2.0,"α=3.0,λ=2.0",true,20
2,3.0,2.0,"α=3.0,λ=2.0",false,48
3,control,control,control,true,87
3,control,control,control,false,25
3,1.5,1.0,"α=1.5,λ=1.0",true,76
3,1.5,1.0,"α=1.5,λ=1.0",false,22
3,2.0,1.5,"α=2.0,λ=1.5",true,77
3,2.0,1.5,"α=2.0,λ=1.5",false,23
3,3.0,2.0,"α=3.0,λ=2.0",true,80
3,3.0,2.0,"α=3.0,λ=2.0",false,25
4,control,control,control,true,25
4,control,control,control,false,61
4,1.5,1.0,"α=1.5,λ=1.0",true,25
4,1.5,1.0,"α=1.5,λ=1.0",false,38
4,2.0,1.5,"α=2.0,λ=1.5",true,25
4,2.0,1.5,"α=2.0,λ=1.5",false,44
4,3.0,2.0,"α=3.0,λ=2.0",true,25
4,3.0,2.0,"α=3.0,λ=2.0",false,47
5,control,control,control,true,25
5,control,control,control,false,42
5,1.5,1.0,"α=1.5,λ=1.0",true,17
5,1.5,1.0,"α=1.5,λ=1.0",false,36
5,2.0,1.5,"α=2.0,λ=1.5",true,17
5,2.0,1.5,"α=2.0,λ=1.5",false,38
5,3.0,2.0,"α=3.0,λ=2.0",true,19
5,3.0,2.0,"α=3.0,λ=2.0",false,37
6,control,control,control,true,52
6,control,control,control,false,56
6,1.5,1.0,"α=1.5,λ=1.0",true,23
6,1.5,1.0,"α=1.5,λ=1.0",false,31
6,2.0,1.5,"α=2.0,λ=1.5",true,27
6,2.0,1.5,"α=2.0,λ=1.5",false,35
6,3.0,2.0,"α=3.0,λ=2.0",true,39
6,3.0,2.0,"α=3.0,λ=2.0",false,43
7,control,control,control,true,24
7,control,control,control,false,34
7,1.5,1.0,"α=1.5,λ=1.0",true,9
7,1.5,1.0,"α=1.5,λ=1.0",false,29
7,2.0,1.5,"α=2.0,λ=1.5",true,12
7,2.0,1.5,"α=2.0,λ=1.5",false,30
7,3.0,2.0,"α=3.0,λ=2.0",true,14
7,3.0,2.0,"α=3.0,λ=2.0",false,31
8,control,control,control,true,90
8,control,control,control,false,81
8,1.5,1.0,"α=1.5,λ=1.0",true,86
8,1.5,1.0,"α=1.5,λ=1.0",false,51
8,2.0,1.5,"α=2.0,λ=1.5",true,86
8,2.0,1.5,"α=2.0,λ=1.5",false,61
8,3.0,2.0,"α=3.0,λ=2.0",true,86
8,3.0,2.0,"α=3.0,λ=2.0",false,67
9,control,control,control,true,31
9,control,control,control,false,52
9,1.5,1.0,"α=1.5,λ=1.0",true,31
9,1.5,1.0,"α=1.5,λ=1.0",false,27
9,2.0,1.5,"α=2.0,λ=1.5",true,31
9,2.0,1.5,"α=2.0,λ=1.5",false,36
9,3.0,2.0,"α=3.0,λ=2.0",true,31
9,3.0,2.0,"α=3.0,λ=2.0",false,39
10,control,control,control,true,59
10,control,control,control,false,25
10,1.5,1.0,"α=1.5,λ=1.0",true,50
10,1.5,1.0,"α=1.5,λ=1.0",false,19
10,2.0,1.5,"α=2.0,λ=1.5",true,52
10,2.0,1.5,"α=2.0,λ=1.5",false,20
10,3.0,2.0,"α=3.0,λ=2.0",true,53
10,3.0,2.0,"α=3.0,λ=2.0",false,23
11,control,control,control,true,37
11,control,control,control,false,43
